cohort,label,unitid,campus_id,institution_name,opeid,branch,address,city,state,zip,reported_enrollment_men,reported_enrollment_women,reported_enrollment_total,filter_2022,filter_2023,filter_2024,candidate_first_campus_suffix001,housing_analysis_selection,source_file
Additional public,Florida,134130,134130005,University of Florida,00153500,Whitney Laboratory for Marine Bioscience,9505 N Ocean Shore Blvd,St. Augustine,FL,32080,24863,31448,56311,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Florida,134130,134130006,University of Florida,00153500,UF Historic St. Augustine,48 King St,St. Augustine,FL,32084,24863,31448,56311,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Florida,134130,134130008,University of Florida,00153500,CityLab Orlando,135 W Central Blvd #500,Orlando,FL,32801,24863,31448,56311,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Florida,134130,134130009,University of Florida,00153500,Preservation Institute Nantucket,11 Centre St #7,Nantucket,MA,02554,24863,31448,56311,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Florida,134130,134130010,University of Florida,00153500,Vicenza Institute of Architecture,"Contra S.S. Apostoli, 51",Vicenza,,36100,24863,31448,56311,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Florida,134130,134130011,University of Florida,00153500,UF Research and Engineering Education Facility (REEF),1350 Poquito Rd N,Shalimar,FL,32579,24863,31448,56311,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Florida,134130,134130012,University of Florida,00153500,Citrus Research and Education Center,700 Experiment Station Rd,Lake Alfred,FL,33850,24863,31448,56311,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Florida,134130,134130013,University of Florida,00153500,Everglades Research and Education Center,3200 E Palm Beach Rd,Belle Glade,FL,33430,24863,31448,56311,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Florida,134130,134130014,University of Florida,00153500,Florida Medical Entomology Laboratory,200 9th St SE,Vero Beach,FL,32962,24863,31448,56311,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Florida,134130,134130015,University of Florida,00153500,Fort Lauderdale Research and Education Center,3205 College Ave,Davie,FL,33314,24863,31448,56311,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Florida,134130,134130017,University of Florida,00153500,Gulf Coast Research and Education Center,14625 Co Rd 672,Wimauma,FL,33598,24863,31448,56311,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Florida,134130,134130018,University of Florida,00153500,Indian River Research and Education Center Campus,2199 South Rock Road,Fort Pierce,FL,34945,24863,31448,56311,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Florida,134130,134130019,University of Florida,00153500,Mid Florida Research and Education Center,2725 S Binion Rd,Apopka,FL,32703,24863,31448,56311,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Florida,134130,134130020,University of Florida,00153500,Nature Coast Biological Station,552 1st St,Cedar Key,FL,32625,24863,31448,56311,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Florida,134130,134130021,University of Florida,00153500,North Florida Research and Education Center Campus (Suwannee Valley),7580 C.R. 136,Live Oak,FL,32060,24863,31448,56311,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
