period,zip_code,variable,n,changed_more_than_1e_7_f,bias_f,mae_f,max_abs_f
primary_2021_2024,92020,mean,1461,1424,0.0035916039561943976,0.05331675748117719,0.375
primary_2021_2024,92021,mean,1461,1413,-0.00036717948665307627,0.05504508537303218,0.44583332999999925
primary_2021_2024,92024,mean,1461,1414,-0.0029441170362764454,0.05891010237508563,0.4166666699999979
primary_2021_2024,92025,mean,1461,1418,-0.0029326845037645735,0.0594011051608488,0.4624999999999986
primary_2021_2024,92026,mean,1461,1414,0.0030397731211498835,0.06114522010266929,0.44583332999999925
primary_2021_2024,92027,mean,1461,1429,-0.0013954161396301202,0.059740157221081294,0.46666667000000217
primary_2021_2024,92028,mean,1461,1420,-0.0030375710882956796,0.05971703422313496,0.4791666699999979
primary_2021_2024,92029,mean,1461,1411,0.00410692006844643,0.06083445430527025,0.5499999999999972
primary_2021_2024,92036,mean,1461,1414,-0.0006402752019166856,0.06807225065708424,0.5583333300000106
primary_2021_2024,92040,mean,1461,1411,7.064347022603745e-05,0.05756359565366195,0.4625000000000057
primary_2021_2024,92054,mean,1461,1427,-0.0013547747775496841,0.05570408895961674,0.38749999999999574
primary_2021_2024,92056,mean,1461,1412,-2.0261143052709013e-05,0.05733285217659134,0.42500000000000426
primary_2021_2024,92057,mean,1461,1418,0.0008745746954141725,0.05722278776865147,0.42083333000000067
primary_2021_2024,92058,mean,1461,1421,-0.003596930828199831,0.05743661779603018,0.42499999999999716
primary_2021_2024,92059,mean,1461,1414,0.002533593127994441,0.059020930568103994,0.5041666699999965
primary_2021_2024,92061,mean,1461,1413,-0.0006042167419575017,0.0588760477070501,0.42916667000000075
primary_2021_2024,92064,mean,1461,1418,-0.0017242161396304474,0.05787619665982223,0.45416666999999933
primary_2021_2024,92065,mean,1461,1421,0.0022916901916497333,0.06141740333333321,0.48749999999999716
primary_2021_2024,92069,mean,1461,1420,-0.0016593756194387295,0.05845688392881597,0.4583333300000021
primary_2021_2024,92071,mean,1461,1420,0.0017805006639289806,0.057585478501026646,0.46666666999999507
primary_2021_2024,92075,mean,1461,1414,-0.002807224496919804,0.05882454453798776,0.4166666699999979
primary_2021_2024,92078,mean,1461,1408,-0.006076114257358059,0.05910982162217645,0.4375
primary_2021_2024,92081,mean,1461,1420,0.004979912539356652,0.058874505366187664,0.4583333300000021
primary_2021_2024,92082,mean,1461,1402,0.0032460891375768993,0.05897504192334017,0.4124999999999943
primary_2021_2024,92083,mean,1461,1417,0.0035757719986309828,0.05967800503080077,0.5041666700000036
primary_2021_2024,92084,mean,1461,1412,0.0036390352566735037,0.058552336707734305,0.44999999999999574
primary_2021_2024,92101,mean,1461,1429,-0.0032803469883642806,0.05492380154004105,0.3708333299999964
primary_2021_2024,92102,mean,1461,1406,0.000728074811772676,0.05189966688569483,0.3791666699999965
primary_2021_2024,92103,mean,1461,1420,0.0028423503559205543,0.05487223870636557,0.3999999999999986
