month,agency,domestic_violence_incident,source_rows,distinct_incidents,distinct_offense_ids,distinct_arrest_numbers
2025-12,EL CAJON,,104,68,104,104
2025-12,ESCONDIDO,,116,113,116,116
2025-12,HARBOR POLICE,,32,32,32,32
2025-12,LA MESA,,58,58,58,58
2025-12,NATIONAL CITY,,36,35,36,36
2025-12,OCEANSIDE,,84,82,84,84
2025-12,SAN DIEGO,,639,628,637,637
2025-12,SHERIFF,,436,426,436,436
2026-01,CARLSBAD,,78,78,78,78
2026-01,CHULA VISTA,,100,100,100,100
2026-01,EL CAJON,,84,71,84,82
2026-01,ESCONDIDO,,126,123,126,126
2026-01,HARBOR POLICE,,35,32,35,35
2026-01,LA MESA,,90,88,90,90
2026-01,NATIONAL CITY,,24,23,24,24
2026-01,OCEANSIDE,,117,115,117,116
2026-01,SAN DIEGO,,691,677,690,689
